severity,flag_code,entity_key,message,case_id
LOW,TAG_FORMAT_INVALID,ci-1Ji,Numeric text but no valid extracted tag.,CASE_03_TAG_PATTERN
HIGH,DUPLICATE_TAG_MAPPING,V-101,Tag mapped to multiple symbols.,CASE_04_UNIQUENESS
HIGH,LINE_DIAMETER_MISMATCH,L-1001,Inconsistent diameter across sheets.,CASE_05_CROSS_SHEET_LINE_CONSISTENCY
HIGH,LINE_DIAMETER_MISMATCH,L-3001,Inconsistent diameter across sheets.,CASE_05_CROSS_SHEET_LINE_CONSISTENCY
HIGH,SERVICE_TYPE_INCOMPATIBLE,PV-201,Service may be incompatible with symbol class.,CASE_06_SERVICE_COMPATIBILITY
CRITICAL,DECOMMISSIONED_REFERENCE,V-102,Drawing references decommissioned equipment.,CASE_07_LIFECYCLE
MEDIUM,MISSING_REQUIRED_TAG,Interconnection References,Missing extracted tag.,CASE_08_MANDATORY_ANNOTATION
MEDIUM,MISSING_REQUIRED_TAG,ci-1Ji,Missing extracted tag.,CASE_08_MANDATORY_ANNOTATION
MEDIUM,MISSING_REQUIRED_TAG,REALPARS,Missing extracted tag.,CASE_08_MANDATORY_ANNOTATION
LOW,ASSOCIATION_DIRECTION_VIOLATION,ci-1Ji,Text on unexpected side.,CASE_09_DISTANCE_DIRECTION
LOW,ASSOCIATION_DIRECTION_VIOLATION,Sample Point,Text on unexpected side.,CASE_09_DISTANCE_DIRECTION
LOW,ASSOCIATION_DIRECTION_VIOLATION,Valve,Text on unexpected side.,CASE_09_DISTANCE_DIRECTION
LOW,ASSOCIATION_DIRECTION_VIOLATION,Vale,Text on unexpected side.,CASE_09_DISTANCE_DIRECTION
LOW,ASSOCIATION_DIRECTION_VIOLATION,Vahe,Text on unexpected side.,CASE_09_DISTANCE_DIRECTION
LOW,ASSOCIATION_DIRECTION_VIOLATION,Rouary,Text on unexpected side.,CASE_09_DISTANCE_DIRECTION
HIGH,FORBIDDEN_CLASS_IN_ZONE,Pneumatic-Diaphragm Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Centrifugal Pump,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Pneumatic-Diaphragm Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Butterfly Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Pneumatic-Diaphragm Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Gear Pump,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Hand Operated Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Gear Pump,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Pneumatic-Diaphragm Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Pneumatic-Diaphragm Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Hand Operated Gate Valve,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
HIGH,FORBIDDEN_CLASS_IN_ZONE,Gear Pump,Class outside zone whitelist.,CASE_10_ZONE_WHITELIST
MEDIUM,UNDECLARED_ADDITION,FP-101,Tag appears only in current revision.,CASE_11_REVISION_DELTA
MEDIUM,UNDECLARED_ADDITION,GV-101,Tag appears only in current revision.,CASE_11_REVISION_DELTA
MEDIUM,UNDECLARED_ADDITION,PV-201,Tag appears only in current revision.,CASE_11_REVISION_DELTA
LOW,LOW_OCR_CONFIDENCE_REVIEW_REQUIRED,ci-1Ji,OCR confidence below threshold.,CASE_12_OCR_CONFIDENCE
LOW,LOW_OCR_CONFIDENCE_REVIEW_REQUIRED,Xw,OCR confidence below threshold.,CASE_12_OCR_CONFIDENCE
LOW,LOW_OCR_CONFIDENCE_REVIEW_REQUIRED,Flow Direcions,OCR confidence below threshold.,CASE_12_OCR_CONFIDENCE
LOW,LOW_OCR_CONFIDENCE_REVIEW_REQUIRED,Valve,OCR confidence below threshold.,CASE_12_OCR_CONFIDENCE
LOW,LOW_OCR_CONFIDENCE_REVIEW_REQUIRED,Sanpl? Point,OCR confidence below threshold.,CASE_12_OCR_CONFIDENCE
LOW,LOW_OCR_CONFIDENCE_REVIEW_REQUIRED,Rouary,OCR confidence below threshold.,CASE_12_OCR_CONFIDENCE
CRITICAL,CRITICAL_ASSET_RULE_VIOLATION,P-210A,Critical asset exceeds strict distance.,CASE_13_CRITICAL_STRICT
CRITICAL,CRITICAL_ASSET_RULE_VIOLATION,P-210A,Critical asset type mismatch.,CASE_13_CRITICAL_STRICT
CRITICAL,CRITICAL_ASSET_RULE_VIOLATION,C-101,Critical asset type mismatch.,CASE_13_CRITICAL_STRICT
CRITICAL,CRITICAL_ASSET_RULE_VIOLATION,V-101,Critical asset type mismatch.,CASE_13_CRITICAL_STRICT
