text_id,text,ocr_confidence,matched,distance_to_symbol,symbol_id,symbol_class,symbol_confidence,text_center_x,text_center_y,symbol_center_x,symbol_center_y
0,Interconnection References,0.6406349996095675,True,121.09,3,Pneumatic-Diaphragm Gate Valve,0.8506,558.0,60.0,463.550048828125,135.77188110351562
1,ci-1Ji,0.05341172263547871,True,62.83,6,Centrifugal Pump,0.8301,273.0,100.0,330.9712829589844,75.78058624267578
2,To Transier Pump,0.7294126845789426,True,132.25,10,Pneumatic-Diaphragm Gate Valve,0.7847,594.0,110.0,538.1627197265625,229.88214111328125
3,Xw,0.27420071340898633,True,9.51,14,Butterfly Valve,0.6687,397.0,118.0,389.3554992675781,112.34309387207031
4,Sample Point,0.6986733847993094,True,63.88,10,Pneumatic-Diaphragm Gate Valve,0.7847,538.0,166.0,538.1627197265625,229.88214111328125
5,To Process,0.8174932462339796,True,123.67,13,Gate Valve,0.6767,449.0,377.0,339.77581787109375,435.0036315917969
6,Flow Direcions,0.381984593949548,True,93.65,16,Gear Pump,0.4781,126.0,401.5,40.61433506011963,363.0324401855469
7,Valve,0.37484815975810015,True,38.3,7,Hand Operated Gate Valve,0.818,281.0,422.0,282.6946716308594,383.74114990234375
8,Compressor,0.9074795910946217,True,70.89,16,Gear Pump,0.4781,57.0,432.0,40.61433506011963,363.0324401855469
9,Vent,0.8473548889160156,True,12.26,13,Gate Valve,0.6767,352.0,436.0,339.77581787109375,435.0036315917969
10,Conbol,0.8757204323890176,True,40.64,4,Pneumatic-Diaphragm Gate Valve,0.8454,209.0,524.0,208.91346740722656,483.3597412109375
11,Valve,0.711924636151914,True,55.64,4,Pneumatic-Diaphragm Gate Valve,0.8454,209.0,539.0,208.91346740722656,483.3597412109375
12,Vale,0.47589635848999023,True,39.57,1,Hand Operated Gate Valve,0.9079,276.0,544.0,276.7104187011719,504.43499755859375
13,REALPARS,0.9156979377827861,True,158.54,0,Globe Valve,0.9201,542.0,538.0,390.11566162109375,583.44287109375
14,Vahe,0.4664041996002197,True,34.47,0,Globe Valve,0.9201,376.0,552.0,390.11566162109375,583.44287109375
15,Sanpl? Point,0.3395086327206975,True,30.64,0,Globe Valve,0.9201,412.0,562.0,390.11566162109375,583.44287109375
16,Drain,0.9996171577693197,True,13.77,15,Gate Valve,0.5373,353.0,600.0,339.2919616699219,598.669921875
17,Rouary,0.18944814065284335,True,70.12,16,Gear Pump,0.4781,21.5,430.5,40.61433506011963,363.0324401855469
